or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR033001001095;811988427;IP solution;Operateur;;IPSO;81198842700027;;;72 RUE ALEXANDRE DUMAS  59950 AUBY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001096;440062388;IP TELECOM;Operateur;;IPTE;44006238800028;;;9 RUE JACQUARD  25000 BESANCON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001097;478736531;IPC Information Systems France;Operateur;;IPCI;47873653100029;;;2 RUE DE LA PAIX  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001098; ;IPC Network services Ltd;Operateur;;IPCN; ;;;TOWER HOUSE 67-73 WORSHIP STREET  EC2A 2DZ LONDON   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001099;752991554;IPCONNECT;Operateur;;IPCT;75299155400011;;;HOTEL D ENTREPRISE DU MILLENAIRE 120 ALLEE JOHN NAPIER  34000 MONTPELLIER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001100; ;IPcopter GmbH & Co. KG;Operateur;;IPCO; ;;;ZIEGELEI 5  D-88090 IMMENSTAAD   ALLEMAGNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001101;499714608;Ipefix;Operateur;;HTCG;49971460800019;;;27 RUE DIDOT  75014 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001102;513919662;Iper Telecom;Operateur;;ITEL;51391966200025;;;6 RUE DES CYCLADES  97200 FORT DE FRANCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001103;488373887;Iperion;Operateur;;IPON;48837388700014;;;PLACE DE LA MEDITERRANEE ZA LA PEYRIERE  34430 SAINT JEAN DE VEDAS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001104;491282323;Iperlink;Operateur;;IPNK;49128232300030;;;5 ROUTE DU PAISY  69570 DARDILLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001105;483234407;IPEVA;Operateur;;IPEV;48323440700045;;;3 RUE FORT DE LA BRICHE  93200 SAINT DENIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001106;494882061;IPEXIA;Operateur;;IPEX;49488206100026;;;64 AVENUE LECLERC  69007 LYON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001107;479525578;IPGARDE;Operateur;;IPGA;47952557800015;;;TOUR DE L HORLOGE 4 PLACE LOUIS ARMAND  75012 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001108;514078948;IPGAZAL;Operateur;;IPAL;51407894800015;;;13 PLACE DU SQUARE  15000 AURILLAC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001109;453075848;IPLINE;Operateur;;IPLI;45307584800045;;;LE TELYCA 189 CHEMIN DU BAC A TRAILLE  69300 CALUIRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001110;424839009;Ipneos;Operateur;;ISTE;42483900900091;;;10 COURS ALEXANDRE BORODINE  26000 VALENCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001111;828887331;Ipnet telecom;Operateur;;IPNT;828887331;;;8 RUE THIERS  76240 LE MESNIL ESNARD;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001112;417803566;Ipsilan networks;Operateur;;IPSI;41780356600047;;;8-10 RUE NIEUPORT  78140 VELIZY-VILLACOUBLAY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001113;537707051;Ipsystems;Operateur;;IPSY;53770705100018;;;18 RUE PHARAON  31000 TOULOUSE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001114;523903243;IP-TECH;Operateur;;IPCH;52390324300021;;;IMMEUBLE FUTURE BUILDING I 1280 AVENUE DES PLATANES  34970 LATTES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001115;490373230;Iptek;Operateur;;ITEK;49037323000021;;;5 AVENUE GEORGES BATAILLE  60330 LE PLESSIS-BELLEVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001116;533089587;Ipxtel;Operateur;;IPXT;53308958700018;;;7 RUE GEORGE SAND  37000 TOURS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001117; ;Iridium Italia S.R.L.;Operateur;;IRID; ;;;TMF MANAGEMENT ITALY S.R.L. FORO BUONAPARTE 74  20121 MILANO   ITALIE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001118;479013252;IRIS 64;Operateur;;IRIS;47901325200016;;;40 QUAI DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001119; ;Iris- information, representation d interets, soutien;Operateur;;REPR; ;;;10 ROUTE DE LESPARRE  33930 VENDAYS MONTALIVET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001120;437683766;IRISE;Operateur;;IRIE;43768376600020;;;40 QUAI DU POINT DU JOUR  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001121;823227806;Isère fibre;Operateur;;ISER;82322780600010;;;12 RUE JEAN-PHILIPPE RAMEAU  93634 LA PLAINE SAINT-DENIS  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001122;503218455;Isis communication;Operateur;;ISCO;50321845500049;;;LE NORECRIN-PARC ACTIVITES ESTAGNOL 334 IMPASSE LAVOISIER  83260 LA CRAU;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001123;750726465;ISITEL;Operateur;;ISIT;75072646500016;;;14 BOULEVARD RAYMOND POINCARE  92380 GARCHES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001124;522134832;Islalink France SARL;Operateur;;ATEU;52213483200016;;;71 AVENUE ANDRE ROUSSIN  13016 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001125;801584319;Isonys;Operateur;;ISON;80158431900017;;;1 RUE THOMAS EDISON  25000 BESANCON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001126;794884247;Isrt;Operateur;;ISRT;79488424700014;;;37F RUE DE MOLSHEIM  67120 SOULTZ LES BAINS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001127;498801794;ISYS;Operateur;;ISYS;49880179400013;;;100 RUE DU GENERAL LECLERC  54122 AZERAILLES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001128;752726463;IT Adept;Operateur;;ITAD;75272646300017;;;1 BOULEVARD DE STRASBOURG  94130 NOGENT SUR MARNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001129;524078888;IT Breizh;Operateur;;ITBR;52407888800012;;;1 RUE VOLTA  92800 PUTEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001130;801407313;IT metrix;Operateur;;ITME;80140731300015;;;333 COURS DU TROISIEME MILLENAIRE  69800 SAINT-PRIEST;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001131;481045698;IT2I;Operateur;;IT2I;48104569800042;;;16 PLACE JB HENNION  59211 SANTES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001132;443966114;ITAS TIM;Operateur;;ITAS;44396611400029;;;VAL DE L HUISNE  28400 NOGENT LE ROTROU;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001133;808513386;Itc Ariane services;Operateur;;ARET;80851338600017;;;11 RUE DE STALINGRAD  93100 MONTREUIL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001134;808513386;ITC Ariane services;Operateur;;ITCA;80851338600017;;;11 RUE DE STALINGRAD  93100 MONTREUIL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001135;326700267;ITC SYSTEMES INSTALLATIONS TELEPHONIQUES COURANTS FAIBLES;Operateur;;ITCS;32670026700049;;;11 RUE DE STALINGRAD  93100 MONTREUIL SOUS BOIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001136;483883419;ITISSALAT AL MAGHRIB;Operateur;;ITIS;48388341900010;;;59 B AVENUE HOCHE  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001137;524571502;It-med;Operateur;;ITMD;52457150200011;;;IMMEUBLE AUSSIBURO 31 BOULEVARD CHARLES MORETTI  13014 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001138;504007998;ITOS;Operateur;;ITOS;50400799800025;;;28 RUE DU CREUX DU PONT  34682 SAINT GEORGES D ORQUES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001139;421633173;ITS Integra;Operateur;;ITSI;42163317300073;;;65 RUE DES TROIS FONTANOT  92024 NANTERRE  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001140;793181330;It tek;Operateur;;ITTE;79318133000010;;;20 RUE ALPHONSE DE LAMARTINE  44880 SAUTRON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001141;479504102;Itvtek;Operateur;;ITVE;47950410200035;;;14-30 RUE DE MANTES  92700 COLOMBES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001142;535100713;I-VIA;Operateur;;IVIA;53510071300010;;;PARC MERMOZ 199 RUE HELENE BOUCHER  34170 CASTELNAU-LE-LEZ;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001143;421321837;Ivolea;Operateur;;AIUS;42132183700070;;;5 QUAI MARCEL DASSAULT  92150 SURESNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001144;805258969;Izarlink;Operateur;;IZAL;80525896900015;;;TECHNOPOLE IZARBEL 97 ALLEE THEODORE MONOD  64210 BIDART;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001145;538645706;IZZYCOM;Operateur;;IZZY;53864570600010;;;ZA DE BEL AIR 9 RUE DE BEL AIR  29700 PLUGUFFAN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001146; ;J.A. des Hauts de Chee;Operateur;;JAHC; ;;;19 RUE BAYSE  55000 LES MARATS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001147;813522430;Jade telecom;Operateur;;JAOM;81352243000012;;;115 RUE DU MOURELET  84000 AVIGNON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001148;524737483;Jagu David;Operateur;;JAGU;52473748300015;;;9 RUE DU CAP  50760 MONTFARVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001149;439099656;Jaguar network;Operateur;;JAG;43909965600027;;;71 AVENUE ANDRE ROUSSIN BP 50067 13321 MARSEILLE  16;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001150; ;JAJAH TECHNOLOGIES SA;Operateur;;JAJA; ;;;7A RUE ROBERT STÜMPER  L-2557 LUXEMBOURG   LUXEMBOURG;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001151;513387126;JAUNE DE MARS;Operateur;;JADM;51338712600016;;;6 RUE DE RUNGIS  67200 STRASBOURG;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001152; ;Jaynet;Operateur;;JAYN; ;;;LE CHAMP D OULE  19500 MEYSSAC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001153;821454204;JCDecaux connect city;Operateur;;JCDE;82145420400016;;;17 RUE SOYER  92200 NEUILLY SUR SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001154;485379085;JEAN-FRANCOIS BRARD;Operateur;;R189;48537908500015;;;APPT  4 - RES JARDIN DES BENITIERS 4 RUE DES BENITIERS  97434 ST GILLES LES BAINS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001155;510941347;Jet comm telecom;Operateur;;JETC;51094134700021;;;86 AVENUE LENINE  94250 GENTILLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001156;793564782;Jigwan;Operateur;;JIGW;79356478200019;;;LE GIBET 18 RUE PIERRE DEMAY  77174 VILLENEUVE SAINT-DENIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001157;791244486;JLM CONSEIL;Operateur;;JLMC;79124448600019;;;7 AVENUE DE LA GRANDE ARMEE  69500 BRON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001158;522283498;JM2AD;Operateur;;JM2A;52228349800056;;;5 RUE DE CONFLANS  94220 CHARENTON-LE-PONT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001159;480262849;Jmo;Operateur;;JMO;48026284900023;;;29 RUE DES SECOURISTES  59000 LILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001160;828161299;Joseph telecom;Operateur;;JOST;82816129900015;;;DOMAINE LA GARENNE  34650 DIO ET VALQUIERES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001161;582131264;JOUVE;Operateur;;JOUV;58213126400035;;;1 RUE DU DOCTEUR SAUVE  53100 MAYENNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001162;453315152;JOUVENCEAU RAPHAEL;Operateur;;CHRO;45331515200026;;;6 RUE DES TILLEULS  39700 DAMPIERRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001163;529518813;JTM Web;Operateur;;JTMW;52951881300017;;;199 RUE HELENE BOUCHER  34170 CASTELNAU-LE-LEZ;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001164;449232073;JUST NICOLAS;Operateur;;JUST;44923207300022;;;245 ANCIEN CHEMIN DU MOULIN  34270 LES MATELLES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001165;340735638;JVE radiocommunications;Operateur;;JVER;34073563800025;;;230 RUE DE LA FEE DES EAUX  69390 VERNAISON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001166;451133466;KALYST;Operateur;;KALY;45113346600016;;;HOTEL TECHNOLOGIQUE 45 RUE FREDERIC JOLIOT CURIE BP 100 13382 MARSEILLE  CEDEX 13;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001167;793418492;Karibtel;Operateur;;KARI;79341849200013;;;ZONE FRANCHE 19 LOTISSEMENT DILLON STADE  97200 FORT-DE-FRANCE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001168;409445848;KDDI FRANCE;Operateur;;KDDI;40944584800040;;;137 BOULEVARD VOLTAIRE  75011 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001169;752975466;Kertel Entreprises;Operateur;;ICOM;75297546600026;;;51 RUE DE PONTHIEU  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001170; ;Key corporate service limited;Operateur;;KEYC; ;;;3RD FLOOR 207 REGENT STREET    LONDON W1B 3HH   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001171;390081156;Keyyo;Operateur;;PHON;39008115600106;;;92 BOULEVARD VICTOR HUGO  92115 CLICHY  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001172;495270159;Keyyo Proximité;Operateur;;ATRI;49527015900041;;;92 BD VICTOR HUGO  92110 CLICHY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001173;515069946;KFL;Operateur;;KFLL;51506994600033;;;9 RUE DE LEGLISE  93800 EPINAY SUR SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001174;410528343;KHEOPS ORGANISATION;Operateur;;KHEO;41052834300024;;;CENTRE D AFFAIRES LA BOURSIDIÈRE BP 62 92537 LE PLESSIS-ROBINSON  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001175;752804765;KIDI SERVICES;Operateur;;KIDI;75280476500010;;;50 RUE DE CHANZY  28000 CHARTRES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001176;820693828;Kiwi communications;Operateur;;KIWI;82069382800015;;;ZAC BELLEVUE 20 RUE ROUGE  97150 SAINT MARTIN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001177;437849631;K-net;Operateur;;KWAO;43784963100019;;;TECHNOPARC RUE GUSTAVE EIFFEL  01630 SAINT GENIS POUILLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001178;795272848;Koala telecom;Operateur;;TIME;79527284800016;;;APT 73 - ETG 7 39 RUE HENRI DE VILMORIN  94400 VITRY-SUR-SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001179;521494047;KODEKH TECHNOLOGIES INFORMATIQUES;Operateur;;KODE;52149404700017;;;33 RUE VIVIENNE  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001180;490051117;Komeo;Operateur;;OPTM;49005111700037;;;RUE JEAN MONNET  62490 VITRY-EN-ARTOIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001181;504732744;KONEKT;Operateur;;KONE;50473274400025;;;5 IMPASSE SALINE VERTE  44350 GUERANDE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001182;828965632;Koontoo;Operateur;;KNTO;828965632;;;43 RUE CAMILLE DESMOULINS  92130 ISSY LES MOULINEAUX IDF;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001183;813528866;Kosc;Operateur;;KOSC;81352886600011;;;2 RUE KELLERMANN  59100 ROUBAIX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001184; ;KPN EURORINGS BV;Operateur;;KPNE; ;;;2516 CK  S-GRAVENNHAGE (DEN HAAG) MAANPLEIN 55 POSTBUS 30000 2500 GA DEN HAAG   PAYS-BAS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001185;498843226;KRYPTSYS;Operateur;;KRYP;49884322600016;;;15 RUE DES TAMARIS  91160 LONGJUMEAU;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001186;403074255;KRYSTAL TECHNOLOGIES;Operateur;;KRYS;40307425500023;;;80 RUE DE PARIS  60200 COMPIEGNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001187;493722821;L&C Consulting;Operateur;;LCNG;49372282100011;;;4 AVENUE DU STADE DE COUBERTIN  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001188; ;L&M services;Operateur;;LMSE; ;;;BTE 2 RUE DE PARIS 4  7500 TOURNAI   BELGIQUE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001189;444966295;L.G.S.I;Operateur;;LGSI;44496629500016;;;20 RUE VORC H LAE  29700 PLUGUFFAN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001190; ;L2I - loisir internet initiation;Operateur;;R180; ;;;MAIRIE  24620 TAMNIES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001191; ;La Chaumière Haut Débit;Operateur;;R032; ;;;LE PEUCH SUD  24290 ST AMAND DE COLY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001192;499210771;LA COMPAGNIE EBUSINESS;Operateur;;EBUS;49921077100014;;;677 CHEMIN DE LA MER  83230 BORMES LES MIMOSAS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001193;356000000;La poste;Operateur;;LPST;35600000000048;;;44 BOULEVARD DE VAUGIRARD  75757 PARIS  CEDEX 15;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001194;525254736;La poste telecom;Operateur;;LPTL;52525473600024;;;855 AVENUE ROGER SALENGRO  92370 CHAVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001195;572178614;LA PRECISION TELEPHONIQUE;Operateur;;PREC;57217861400044;;;13 RUE GEORGES AURIC  75019 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001196;500118369;La Réunion numerique;Operateur;;LRNU;50011836900015;;;7 RUE HENRI CORNU  97490 STE CLOTILDE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001197;334804333;La signalisation Bretagne;Operateur;;LASB;33480433300048;;;ZI DU PRAT RUE DUPUY DE LOME  56000 VANNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001198;792550600;LA SOLUTION;Operateur;;LASO;79255060000011;;;88 BIS RUE GARIBALDI  94100 SAINT MAUR DES FOSSES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001199; ;La souris verte;Operateur;;R033; ;;;MAISON DES HABITANTS  26420 ST MARTIN EN VERCORS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001200; ;La toile de Tessy;Operateur;;R034; ;;;MAIRIE  50420 TESSY SUR VIRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001201; ;La toile du Larzac;Operateur;;LTDL; ;;;LIEU DIT MONTREDON  12100 LA ROQUE-SAINTE-MARGUERITE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001202; ;La toile du marais;Operateur;;R035; ;;;LES FONTAINES  50480 BLOSVILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001203;531049286;Lachaud Yannick;Operateur;;LACH;53104928600044;;;12 RUE JEAN MONNET  11000 CARCASSONNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001204;789129012;L agence pro;Operateur;;AGPR;78912901200025;;;5B RUE DU GENERAL LECLERC  14790 VERSON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001205;479530578;Lanestel;Operateur;;LANE;47953057800018;;;TECHNOPOLE BREST IROISE 38 RUE JIM SEVELLEC  29200 BREST;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001206;509544516;LANGUEDOC ROUSSILLON HAUT DEBIT;Operateur;;LRHD;50954451600024;;;245 RUE DE LA GALERA  34097 MONTPELLIER  CEDEX 5;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001207;453007437;Lasotel;Operateur;;MWSP;45300743700040;;;BATIMENT A LE POLE PIXEL 26 RUE EMILE DECORPS  69100 VILLEURBANNE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001208; ;LATENT NETWORKS LTD;Operateur;;LATE; ;;;M5 TIGNE PLACE, TIGNE STREET   SLM 3173 SLIEMA   MALTE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001209;509544409;LAVAL TRES HAUT DEBIT;Operateur;;LHTD;50954440900030;;;CHAPPE CENTRAL 14 RUE CLAUDE CHAPPE  53000 LAVAL;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001210;442784534;Laynis consulting;Operateur;;LAYN;44278453400053;;;101 RUE DE LA CIGOGNE  45100 ORLEANS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001211; ;Lbnet;Operateur;;LBNE; ;;;10 RUE DU PETIT BELLEGARDE  87270 COUZEIX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001212;442293841;LC2 MEDIAS;Operateur;;LC2M;44229384100023;;;76 AVENUE DES CHAMPS ELYSEES  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001213;501799779;L-CENTER;Operateur;;LCEN;50179977900019;;;ZI DE BEL AIR   29419 LANDERNEAU  CEDEX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001214;814879987;Le 118;Operateur;;FRZY;81487998700018;;;16 BOULEVARD SAINT GERMAIN  75237 PARIS  05;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001215;503839318;Le 118 918;Operateur;;AAAA;50383931800022;;;121 AVENUE DES CHAMPS-ELYSEES  75008 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001216;353989023;Le bar des fleurs;Operateur;;LBDF;35398902300018;;;36 PLACE DES CARMES  76000 ROUEN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001217;521727248;Le domaine du pré ;Operateur;;LDDP;52172724800028;;;BELLEVUE  85220 LA CHAPELLE-HERMIER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001218;484805775;LE GAL Olivier;Operateur;;LGAL;48480577500042;;;BUREAU 1 BIS 33 RUE DE KERDURAND  56670 RIANTEC;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001219;813393717;Le kiosqueur;Operateur;;KIOS;81339371700026;;;33 RUE BLANCHE  75009 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001220;479720591;Le pays de Gueret;Operateur;;PAGU;47972059100011;;;2 RUE HUBERT GAUDRIOT  23000 GUERET;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001221;496573155;L E T E;Operateur;;LETE;49657315500017;;;18 RUE AUGUSTE LUMIERE BP 323 22003 SAINT-BRIEUC  CEDEX 1;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001222;432333052;LE VILLAGE;Operateur;;LEVI;43233305200012;;;SAINT LOUIS 17 CHEMIN GUICHARD  97421 LA RIVIERE ST LOUIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001223;514021708;Lebara France Limited;Operateur;;LEFR;51402170800078;;;90 BOULEVARD NATIONAL  92250 LA GARENNE-COLOMBES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001224; ;Lebara limited;Operateur;;LEBA; ;;;2ND FLOOR - 25 COPTHALL AVE  EC2R 7BP LONDON   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001225;400573689;LEBORGNE LOIC (INFOBARQUEE);Operateur;;LEBO;40057368900025;;;LA LANDE  44420 MESQUER;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001226;440799989;Legos;Operateur;;LEGO;44079998900015;;;35 RUE DE DANTZIG  75015 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001227;424616928;L Entreprise télécom;Operateur;;LENT;42461692800034;;;79 B RUE MARCEL DASSAULT  92100 BOULOGNE BILLANCOURT;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001228;503111668;Leonix telecom;Operateur;;LEON;50311166800037;;;35 RUE DES JEUNEURS  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001229;538504945;Leroy Jacques;Operateur;;LERO;53850494500022;;;LD RESIDENCE ARDENNE LES FOUGERES - APPT 5  08200 SEDAN;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001230;799843578;Les 2 choux;Operateur;;2CHX;79984357800011;;;3-4 PLACE DE LA REPUBLIQUE  12140 ENTRAYGUES SUR TRUYERE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001231;394076020;Les courants faibles;Operateur;;LCFA;39407602000020;;;LA GRANDE SAVANE   97133 SAINT-BARTHELEMY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001232;823025028;Les entrepreneurs de la fibre;Operateur;;EDLF;82302502800015;;;29 BOULEVARD EDGAR QUINET  75014 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001233;420989154;Level 3 communications France;Operateur;;GPEN;42098915400083;;;LE CAPITOLE - BAT. B 55 RUE DES CHAMPS PIERREUX  92000 NANTERRE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001234;798929600;Level Sys;Operateur;;LEYS;79892960000012;;;10 QUAI DE LA MARNE  75010 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001235;453695017;LGTEL-ANDIS;Operateur;;LGTE;45369501700013;;;LD TERRE DE SAINT JULIEN  47130 PORT STE MARIE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001236;520210691;Lhexian communications;Operateur;;LHEX;52021069100017;;;39 CHEMIN DE BAZEMONT  78580 MAULE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001237;517541983;LIAZO;Operateur;;LIAZ;51754198300022;;;3-5-7 RUE MARQUET  75020 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001238;491402707;LIBERTY MULTIMEDIA;Operateur;;LIBE;49140270700013;;;2 LOT CAMPAGNE OSIRIS  13170 LES PENNES MIRABEAU;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001001239;793954991;LIBRE TELECOM;Operateur;;LITE;79395499100014;;;26 AVENUE GUSTAVE EIFFEL  33700 MERIGNAC;;;;;;;;;2017-11-19 22:30:50;;;;
